hour_offset,total_events,unique_machines,add_events,remove_events,update_events,avg_cpu,avg_memory,std_cpu,std_memory,min_cpu,max_cpu,min_memory,max_memory,unique_switches,unique_platforms,hour_of_day,day_of_week,day_of_month,hour_sin,hour_cos,day_sin,day_cos,lag1_events,lag1_machines,lag1_cpu,lag2_events,lag2_machines,lag2_cpu,lag3_events,lag3_machines,lag3_cpu,lag6_events,lag6_machines,lag6_cpu,lag12_events,lag12_machines,lag12_cpu,lag24_events,lag24_machines,lag24_cpu,ma3_events,ma3_machines,ma3_cpu,ma6_events,ma6_machines,ma6_cpu,ma12_events,ma12_machines,ma12_cpu,ma24_events,ma24_machines,ma24_cpu,ma48_events,ma48_machines,ma48_cpu,roll12_std,roll12_max,roll12_min,roll24_std,roll24_max,roll24_min,pct_change_1h,pct_change_6h,pct_change_24h,diff_1h,diff_6h,diff_24h,cpu_memory_ratio,resource_total,resource_efficiency,events_per_machine,events_quantile,cpu_quantile,memory_quantile,is_high_load,is_low_load,load_category,is_business_hour,is_weekend,is_night,cpu_events_interaction,machines_events_ratio,switches_complexity
0.0,9539.0,9533.0,0.0,9533.0,6.0,0.6734097152151749,0.39189192578657334,0.20716329467492306,0.17077426754814382,0.38671875,1.0,0.166748046875,1.0,249.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,6726.7068094276265,9539.0,9539.0,6726.7068094276265,9539.0,9539.0,-0.9972743474158717,-0.9993710032498165,-0.9924520389977985,-9513.0,-9533.0,-9467.0,1.7183512916533659,1.0653016410017482,8954.262979231971,1.0006293925311414,9.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,6.423655273437554,0.9992662473794549,996.0
0.5,4983.272521264176,4907.967644582498,0.0,9533.0,6.0,0.6121369029500711,0.3619068905751425,0.20716329467492306,0.17077426754814382,0.38671875,1.0,0.166748046875,1.0,249.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,6726.7068094276265,9539.0,9539.0,6726.7068094276265,9539.0,9539.0,-0.9972743474158717,-0.9993710032498165,-0.9924520389977985,-9513.0,-9533.0,-9467.0,1.7183512916533659,1.0653016410017482,8954.262979231971,1.0006293925311414,9.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,6.423655273437554,0.9992662473794549,996.0
1.0,26.0,18.0,0.0,13.0,13.0,0.5486778846153846,0.3462477463942307,0.22097150653584538,0.2940714786118966,0.38671875,1.0,0.166748046875,1.0,7.0,4.0,1.0,0.0,0.0,0.25881904510252074,0.9659258262890683,0.0,1.0,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,6726.7068094276265,9539.0,26.0,6726.7068094276265,9539.0,26.0,-0.9972743474158717,-0.9993710032498165,-0.9924520389977985,-9513.0,-9533.0,-9467.0,1.584635006853347,0.8949256310096153,29.052660965813462,1.4444443641975353,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.014265625,0.6666666666666666,28.0
1.5,21.950354037280764,16.18887298500244,0.0,13.0,13.0,0.6138950911933269,0.36881275480808556,0.22097150653584538,0.2940714786118966,0.38671875,1.0,0.166748046875,1.0,7.0,4.0,1.0,0.0,0.0,0.25881904510252074,0.9659258262890683,0.0,1.0,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,4782.5,4775.5,0.6110437999152798,6726.7068094276265,9539.0,26.0,6726.7068094276265,9539.0,26.0,-0.9972743474158717,-0.9993710032498165,-0.9924520389977985,-9513.0,-9533.0,-9467.0,1.584635006853347,0.8949256310096153,29.052660965813462,1.4444443641975353,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.014265625,0.6666666666666666,28.0
2.0,17.0,14.0,0.0,8.0,9.0,0.6470013786764706,0.37758501838235287,0.14175895316118733,0.16693513707341023,0.4794921875,1.0,0.25,1.0,5.0,3.0,2.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,26.0,18.0,0.5486778846153846,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,5494.9330296191965,9539.0,17.0,5494.9330296191965,9539.0,17.0,-0.34615384615384615,-0.9993710032498165,-0.9924520389977985,-9.0,-9533.0,-9467.0,1.7135204885189925,1.0245863970588234,16.592044806329003,1.2142856275510268,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0109990234375,0.7777777777777778,15.0
2.5,13.925068849704331,10.823372380185013,0.0,8.0,9.0,0.7287461201035988,0.39114638415242864,0.14175895316118733,0.16693513707341023,0.4794921875,1.0,0.25,1.0,5.0,3.0,2.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,26.0,18.0,0.5486778846153846,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,3194.0,3188.3333333333335,0.6230296595023433,5494.9330296191965,9539.0,17.0,5494.9330296191965,9539.0,17.0,-0.34615384615384615,-0.9993710032498165,-0.9924520389977985,-9.0,-9533.0,-9467.0,1.7135204885189925,1.0245863970588234,16.592044806329003,1.2142856275510268,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0109990234375,0.7777777777777778,15.0
3.0,10.0,8.0,0.0,7.0,3.0,0.755078125,0.40009765625,0.2107951873326433,0.0859822474646308,0.591796875,1.0,0.33349609375,0.5,4.0,2.0,3.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,1.0,17.0,14.0,0.6470013786764706,26.0,18.0,0.5486778846153846,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,17.666666666666668,13.333333333333334,0.6502524627639517,2398.0,2393.25,0.6560417758767575,2398.0,2393.25,0.6560417758767575,2398.0,2393.25,0.6560417758767575,2398.0,2393.25,0.6560417758767575,4760.6711711690405,9539.0,10.0,4760.6711711690405,9539.0,10.0,-0.4117647058823529,-0.9993710032498165,-0.9924520389977985,-7.0,-9533.0,-9467.0,1.8872298449515228,1.15517578125,8.65668368886288,1.2499998437500197,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.00755078125,0.7272727272727273,8.0
3.5,11.153707174876958,8.813919289115816,0.0,7.0,3.0,0.7765526722014281,0.41085895334800676,0.2107951873326433,0.0859822474646308,0.591796875,1.0,0.33349609375,0.5,4.0,2.0,3.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,1.0,17.0,14.0,0.6470013786764706,26.0,18.0,0.5486778846153846,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,17.666666666666668,13.333333333333334,0.6502524627639517,2398.0,2393.25,0.6560417758767575,2398.0,2393.25,0.6560417758767575,2398.0,2393.25,0.6560417758767575,2398.0,2393.25,0.6560417758767575,4760.6711711690405,9539.0,10.0,4760.6711711690405,9539.0,10.0,-0.4117647058823529,-0.9993710032498165,-0.9924520389977985,-7.0,-9533.0,-9467.0,1.8872298449515228,1.15517578125,8.65668368886288,1.2499998437500197,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.00755078125,0.7272727272727273,8.0
4.0,11.0,10.0,0.0,3.0,8.0,0.7211470170454546,0.41677024147727276,0.18380730786887448,0.2074525815299234,0.4794921875,1.0,0.25,1.0,8.0,3.0,4.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0,10.0,8.0,0.755078125,17.0,14.0,0.6470013786764706,26.0,18.0,0.5486778846153846,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,12.666666666666666,10.666666666666666,0.707742173573975,1920.6,1916.6,0.6690628241104969,1920.6,1916.6,0.6690628241104969,1920.6,1916.6,0.6690628241104969,1920.6,1916.6,0.6690628241104969,4258.819824787144,9539.0,10.0,4258.819824787144,9539.0,10.0,0.10000000000000009,-0.9993710032498165,-0.9924520389977985,1.0,-9533.0,-9467.0,1.730318566341819,1.1379172585227273,9.666775199020414,1.099999890000011,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0079326171875,0.8333333333333334,24.0
4.5,11.275260788753016,8.869350824805332,0.0,3.0,8.0,0.6699901105599058,0.4431814362727361,0.18380730786887448,0.2074525815299234,0.4794921875,1.0,0.25,1.0,8.0,3.0,4.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0,10.0,8.0,0.755078125,17.0,14.0,0.6470013786764706,26.0,18.0,0.5486778846153846,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,9539.0,9533.0,0.6734097152151749,12.666666666666666,10.666666666666666,0.707742173573975,1920.6,1916.6,0.6690628241104969,1920.6,1916.6,0.6690628241104969,1920.6,1916.6,0.6690628241104969,1920.6,1916.6,0.6690628241104969,4258.819824787144,9539.0,10.0,4258.819824787144,9539.0,10.0,0.10000000000000009,-0.9993710032498165,-0.9924520389977985,1.0,-9533.0,-9467.0,1.730318566341819,1.1379172585227273,9.666775199020414,1.099999890000011,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0079326171875,0.8333333333333334,24.0
